Pair,Frequency,Probability
", ",16826,16826/770604
о ,12632,12632/770604
 п,11048,11048/770604
е ,10582,10582/770604
и ,10453,10453/770604
 н,10401,10401/770604
 в,10213,10213/770604
 с,10193,10193/770604
то,9533,9533/770604
ст,7496,7496/770604
ко,7454,7454/770604
а ,7439,7439/770604
 и,7096,7096/770604
но,6605,6605/770604
по,6544,6544/770604
не,6538,6538/770604
 к,6433,6433/770604
ов,6257,6257/770604
на,6207,6207/770604
ка,6153,6153/770604
 о,6145,6145/770604
го,5840,5840/770604
 д,5571,5571/770604
 т,5569,5569/770604
ь ,5353,5353/770604
ни,5246,5246/770604
 б,5219,5219/770604
ро,5117,5117/770604
ак,5076,5076/770604
ал,4964,4964/770604
пр,4847,4847/770604
я ,4839,4839/770604
ен,4680,4680/770604
ра,4645,4645/770604
ть,4578,4578/770604
во,4550,4550/770604
от,4476,4476/770604
ли,4462,4462/770604
ло,4446,4446/770604
ел,4410,4410/770604
ос,4280,4280/770604
ор,4265,4265/770604
 ч,4142,4142/770604
ре,4102,4102/770604
та,4010,4010/770604
м ,3937,3937/770604
те,3934,3934/770604
ер,3905,3905/770604
ол,3874,3874/770604
ва,3868,3868/770604
л ,3836,3836/770604
в ,3767,3767/770604
ет,3762,3762/770604
. ,3749,3749/770604
ве,3744,3744/770604
ом,3690,3690/770604
й ,3684,3684/770604
за,3621,3621/770604
од,3579,3579/770604
ри,3508,3508/770604
де,3492,3492/770604
ат,3444,3444/770604
да,3343,3343/770604
ес,3288,3288/770604
 м,3262,3262/770604
он,3230,3230/770604
ог,3204,3204/770604
ил,3173,3173/770604
ла,3141,3141/770604
бы,3116,3116/770604
у ,3102,3102/770604
к ,3054,3054/770604
т ,2929,2929/770604
 з,2900,2900/770604
же,2894,2894/770604
ся,2890,2890/770604
ль,2881,2881/770604
ем,2854,2854/770604
ит,2840,2840/770604
 у,2837,2837/770604
об,2763,2763/770604
 г,2727,2727/770604
ск,2723,2723/770604
се,2719,2719/770604
ме,2676,2676/770604
аз,2659,2659/770604
чт,2611,2611/770604
 р,2601,2601/770604
ан,2595,2595/770604
ле,2541,2541/770604
ам,2527,2527/770604
"

",2488,2488/770604
ки,2445,2445/770604
че,2439,2439/770604
ик,2435,2435/770604
ы ,2330,2330/770604
ны,2329,2329/770604
ин,2304,2304/770604
ой,2273,2273/770604
ти,2264,2264/770604
ас,2264,2264/770604
до,2263,2263/770604
ав,2250,2250/770604
— ,2242,2242/770604
 е,2240,2240/770604
ед,2181,2181/770604
х ,2168,2168/770604
ми,2129,2129/770604
ви,2123,2123/770604
вс,2104,2104/770604
ег,2071,2071/770604
чи,2030,2030/770604
ру,2001,2001/770604
ич,1948,1948/770604
сь,1931,1931/770604
сл,1927,1927/770604
мо,1924,1924/770604
нн,1920,1920/770604
н ,1910,1910/770604
им,1897,1897/770604
"е,",1850,1850/770604
"о,",1846,1846/770604
вы,1842,1842/770604
"и,",1759,1759/770604
тр,1726,1726/770604
ис,1724,1724/770604
ыл,1719,1719/770604
тв,1692,1692/770604
ку,1680,1680/770604
 —,1665,1665/770604
со,1651,1651/770604
ну,1642,1642/770604
с ,1636,1636/770604
бе,1616,1616/770604
ши,1614,1614/770604
 л,1594,1594/770604
"
—",1551,1551/770604
— ,1550,1550/770604
".
",1540,1540/770604
му,1539,1539/770604
ма,1531,1531/770604
"а,",1527,1527/770604
хо,1522,1522/770604
ей,1520,1520/770604
"ь,",1510,1510/770604
 ж,1508,1508/770604
ое,1486,1486/770604
ар,1475,1475/770604
ше,1471,1471/770604
уд,1466,1466/770604
ие,1445,1445/770604
из,1438,1438/770604
ю ,1437,1437/770604
бо,1426,1426/770604
ок,1424,1424/770604
ди,1413,1413/770604
ду,1406,1406/770604
ив,1384,1384/770604
уж,1372,1372/770604
ча,1364,1364/770604
ож,1362,1362/770604
ев,1362,1362/770604
пе,1361,1361/770604
оч,1360,1360/770604
их,1293,1293/770604
дн,1265,1265/770604
нь,1241,1241/770604
ая,1219,1219/770604
зн,1207,1207/770604
са,1203,1203/770604
ят,1188,1188/770604
ут,1183,1183/770604
 х,1159,1159/770604
: ,1149,1149/770604
оз,1132,1132/770604
 э,1119,1119/770604
"м,",1103,1103/770604
бу,1092,1092/770604
бр,1082,1082/770604
др,1076,1076/770604
еб,1070,1070/770604
"я,",1065,1065/770604
ый,1054,1054/770604
ты,1048,1048/770604
ад,1040,1040/770604
жи,1034,1034/770604
ту,1032,1032/770604
кр,1015,1015/770604
ек,1010,1010/770604
эт,1010,1010/770604
си,1004,1004/770604
тн,993,993/770604
"у,",993,993/770604
аж,989,989/770604
вш,981,981/770604
ля,981,981/770604
ьк,980,980/770604
лу,969,969/770604
сп,968,968/770604
ры,958,958/770604
лс,948,948/770604
уг,938,938/770604
", ",930,930/770604
ще,928,928/770604
оп,927,927/770604
 П,920,920/770604
ае,905,905/770604
ум,902,902/770604
ые,898,898/770604
мн,893,893/770604
ия,890,890/770604
св,874,874/770604
ус,872,872/770604
ид,871,871/770604
ым,867,867/770604
 а,862,862/770604
ба,860,860/770604
ьс,842,842/770604
тс,834,834/770604
ий,833,833/770604
вн,825,825/770604
"й,",825,825/770604
гл,814,814/770604
ьн,813,813/770604
ез,813,813/770604
 Ч,813,813/770604
з ,808,808/770604
; ,803,803/770604
Чи,798,798/770604
"т,",793,793/770604
 я,786,786/770604
ня,782,782/770604
 В,761,761/770604
пи,760,760/770604
ош,759,759/770604
ее,754,754/770604
ую,750,750/770604
 Н,749,749/770604
ых,732,732/770604
па,714,714/770604
ря,714,714/770604
еч,707,707/770604
зв,705,705/770604
! ,703,703/770604
жн,702,702/770604
еп,701,701/770604
уч,691,691/770604
ул,687,687/770604
дь,686,686/770604
уп,681,681/770604
гд,678,678/770604
ах,668,668/770604
зд,665,665/770604
уш,662,662/770604
лю,642,642/770604
ша,640,640/770604
жа,632,632/770604
иц,620,620/770604
ук,618,618/770604
ыв,616,616/770604
ап,609,609/770604
дв,607,607/770604
аш,604,604/770604
ач,601,601/770604
"ы,",596,596/770604
а.,595,595/770604
ье,593,593/770604
ещ,583,583/770604
еш,580,580/770604
иб,579,579/770604
 —,575,575/770604
су,575,575/770604
шк,572,572/770604
д ,569,569/770604
рт,569,569/770604
гу,567,567/770604
га,564,564/770604
чн,564,564/770604
мы,562,562/770604
сн,561,561/770604
аю,558,558/770604
бл,558,558/770604
-т,556,556/770604
"в,",545,545/770604
е.,535,535/770604
еж,534,534/770604
ою,532,532/770604
уб,531,531/770604
щи,527,527/770604
ех,526,526/770604
 «,522,522/770604
рн,517,517/770604
"л,",515,515/770604
"к,",510,510/770604
ои,509,509/770604
о.,508,508/770604
це,506,506/770604
ян,502,502/770604
ке,502,502/770604
и.,498,498/770604
жд,497,497/770604
 С,496,496/770604
сс,492,492/770604
ги,492,492/770604
ур,490,490/770604
гр,490,490/770604
ай,485,485/770604
ха,482,482/770604
ув,479,479/770604
см,477,477/770604
чу,475,475/770604
По,475,475/770604
ца,470,470/770604
ву,464,464/770604
 К,463,463/770604
аг,461,461/770604
аб,456,456/770604
ыс,454,454/770604
 И,449,449/770604
 ш,448,448/770604
пу,447,447/770604
"ю,",445,445/770604
"х,",442,442/770604
ыт,442,442/770604
вр,438,438/770604
би,429,429/770604
зя,427,427/770604
ья,422,422/770604
зо,422,422/770604
пл,421,421/770604
кн,418,418/770604
ь.,413,413/770604
ир,410,410/770604
лы,408,408/770604
? ,408,408/770604
рь,407,407/770604
дл,403,403/770604
шь,401,401/770604
вл,401,401/770604
г ,394,394/770604
дс,394,394/770604
иг,389,389/770604
ец,387,387/770604
ял,386,386/770604
тк,385,385/770604
ж ,384,384/770604
кл,384,384/770604
"н,",378,378/770604
оя,377,377/770604
. ,368,368/770604
ух,362,362/770604
бя,359,359/770604
Но,358,358/770604
иш,355,355/770604
 М,354,354/770604
 О,354,354/770604
йс,351,351/770604
тя,350,350/770604
ох,349,349/770604
я.,348,348/770604
у.,342,342/770604
яд,341,341/770604
Да,338,338/770604
 Т,338,338/770604
ды,335,335/770604
-н,333,333/770604
 А,323,323/770604
мя,321,321/770604
ям,317,317/770604
ыш,313,313/770604
кт,312,312/770604
о-,311,311/770604
м.,309,309/770604
як,305,305/770604
чк,303,303/770604
лк,302,302/770604
Не,302,302/770604
р ,297,297/770604
 ф,296,296/770604
зе,294,294/770604
вз,292,292/770604
в.,290,290/770604
рш,288,288/770604
ии,287,287/770604
нс,286,286/770604
ьш,285,285/770604
шл,285,285/770604
яс,284,284/770604
 Д,279,279/770604
А ,272,272/770604
нк,269,269/770604
» ,266,266/770604
ют,265,265/770604
ге,264,264/770604
зы,263,263/770604
Ко,263,263/770604
! ,262,262/770604
"?
",260,260/770604
ыр,257,257/770604
уз,255,255/770604
нт,253,253/770604
 Н,251,251/770604
дя,242,242/770604
ща,239,239/770604
Пр,238,238/770604
шо,234,234/770604
Ка,232,232/770604
В ,230,230/770604
й.,227,227/770604
юд,226,226/770604
ц ,226,226/770604
Он,225,225/770604
бн,224,224/770604
ьм,222,222/770604
е-,220,220/770604
вд,220,220/770604
!»,220,220/770604
ью,219,219/770604
зу,219,219/770604
йн,218,218/770604
рд,218,218/770604
зи,215,215/770604
сд,212,212/770604
… ,211,211/770604
фа,210,210/770604
пя,210,210/770604
ющ,209,209/770604
На,209,209/770604
 Д,209,209/770604
вк,208,208/770604
лж,205,205/770604
йк,204,204/770604
 ц,202,202/770604
рк,201,201/770604
юб,200,200/770604
яв,199,199/770604
рс,197,197/770604
Ив,197,197/770604
шн,196,196/770604
сы,196,196/770604
иж,195,195/770604
Ну,193,193/770604
рв,191,191/770604
гн,191,191/770604
ык,191,191/770604
вя,190,190/770604
яз,190,190/770604
уе,190,190/770604
Во,190,190/770604
Пе,189,189/770604
ию,189,189/770604
дк,187,187/770604
».,186,186/770604
сч,186,186/770604
дц,184,184/770604
зг,183,183/770604
т.,181,181/770604
йт,177,177/770604
нц,176,176/770604
шу,174,174/770604
И ,173,173/770604
ип,172,172/770604
хл,172,172/770604
ео,172,172/770604
"!
",172,172/770604
ащ,171,171/770604
ы.,168,168/770604
сх,168,168/770604
а!,167,167/770604
рж,165,165/770604
нд,165,165/770604
ущ,165,165/770604
ях,162,162/770604
чь,160,160/770604
 П,160,160/770604
Я ,160,160/770604
 А,159,159/770604
б ,158,158/770604
й-,158,158/770604
ю.,157,157/770604
л.,157,157/770604
"р,",154,154/770604
е:,154,154/770604
 З,154,154/770604
х.,152,152/770604
хв,152,152/770604
зб,151,151/770604
ищ,150,150/770604
Со,149,149/770604
цы,148,148/770604
яч,148,148/770604
ч ,148,148/770604
ею,147,147/770604
жу,147,147/770604
? ,147,147/770604
пы,146,146/770604
вь,146,146/770604
лн,144,144/770604
Ма,143,143/770604
ьз,142,142/770604
"ч,",142,142/770604
оо,140,140/770604
 Г,139,139/770604
Эт,138,138/770604
тл,138,138/770604
ып,138,138/770604
зь,138,138/770604
Та,138,138/770604
яй,138,138/770604
мл,136,136/770604
За,136,136/770604
 В,136,136/770604
 Р,135,135/770604
ио,135,135/770604
 Я,135,135/770604
о:,134,134/770604
цу,134,134/770604
йш,134,134/770604
Пл,134,134/770604
цо,133,133/770604
 У,133,133/770604
Па,132,132/770604
фи,132,132/770604
сю,131,131/770604
ын,131,131/770604
ьт,131,131/770604
Вс,130,130/770604
е!,130,130/770604
 Э,129,129/770604
ун,129,129/770604
Чт,129,129/770604
рю,128,128/770604
нч,127,127/770604
кв,126,126/770604
рх,126,126/770604
хн,125,125/770604
к.,124,124/770604
 Е,124,124/770604
ср,123,123/770604
фр,123,123/770604
вп,122,122/770604
о!,121,121/770604
ню,121,121/770604
ь!,121,121/770604
вт,120,120/770604
Ве,118,118/770604
зл,118,118/770604
рм,117,117/770604
 Б,117,117/770604
хи,116,116/770604
"с,",116,116/770604
чш,115,115/770604
ь:,115,115/770604
 Х,113,113/770604
ь?,112,112/770604
бс,111,111/770604
иф,111,111/770604
Се,111,111/770604
ху,111,111/770604
ощ,111,111/770604
дт,111,111/770604
и?,111,111/770604
и:,110,110/770604
зм,110,110/770604
пк,110,110/770604
н.,108,108/770604
 <,108,108/770604
зж,106,106/770604
ыг,106,106/770604
ящ,106,106/770604
о?,106,106/770604
ци,106,106/770604
 К,106,106/770604
ъе,105,105/770604
"ц,",105,105/770604
"д,",105,105/770604
юш,105,105/770604
к-,105,105/770604
яи,104,104/770604
и!,104,104/770604
тд,103,103/770604
лг,103,103/770604
жк,102,102/770604
ея,102,102/770604
тч,101,101/770604
вм,100,100/770604
ыб,99,99/770604
л:,99,99/770604
и;,99,99/770604
яж,99,99/770604
"
Ч",98,98/770604
 щ,97,97/770604
бк,96,96/770604
йд,95,95/770604
ъя,94,94/770604
уй,93,93/770604
Те,93,93/770604
 Ф,92,92/770604
Ан,92,92/770604
юс,91,91/770604
а?,90,90/770604
еи,89,89/770604
тп,87,87/770604
к!,87,87/770604
зр,87,87/770604
е?,87,87/770604
дп,86,86/770604
"ж,",86,86/770604
а;,86,86/770604
бщ,86,86/770604
рг,85,85/770604
"»,",84,84/770604
а:,84,84/770604
Вы,84,84/770604
":
",84,84/770604
Ва,82,82/770604
я!,82,82/770604
Мо,81,81/770604
я:,81,81/770604
зк,79,79/770604
е;,79,79/770604
рб,79,79/770604
ьц,79,79/770604
ыч,78,78/770604
юч,78,78/770604
То,78,78/770604
у!,78,78/770604
ыд,77,77/770604
Хо,76,76/770604
хр,76,76/770604
а-,75,75/770604
Го,74,74/770604
жо,74,74/770604
й!,74,74/770604
рп,73,73/770604
мс,73,73/770604
тю,72,72/770604
дм,72,72/770604
пн,71,71/770604
Фе,71,71/770604
рл,70,70/770604
Ст,70,70/770604
йм,70,70/770604
м-,69,69/770604
о;,69,69/770604
гк,69,69/770604
"г,",69,69/770604
У ,69,69/770604
бъ,69,69/770604
Из,69,69/770604
> ,69,69/770604
мк,68,68/770604
лл,68,68/770604
Сл,68,68/770604
оу,68,68/770604
"
«",68,68/770604
ю-,67,67/770604
ау,67,67/770604
кс,67,67/770604
-к,66,66/770604
ш ,66,66/770604
юр,66,66/770604
«Н,66,66/770604
м;,65,65/770604
фе,65,65/770604
-с,65,65/770604
м:,65,65/770604
хе,65,65/770604
аи,65,65/770604
..,64,64/770604
"…
",64,64/770604
Ми,64,64/770604
ьб,63,63/770604
«П,62,62/770604
еу,62,62/770604
чо,62,62/770604
т:,62,62/770604
щу,61,61/770604
Ту,61,61/770604
Ес,61,61/770604
Ра,60,60/770604
м!,60,60/770604
"
Н",60,60/770604
ьг,60,60/770604
оф,59,59/770604
 Т,59,59/770604
 „,59,59/770604
"
В",58,58/770604
От,58,58/770604
у:,58,58/770604
жб,58,58/770604
Ни,58,58/770604
т!,58,58/770604
я?,57,57/770604
 О,57,57/770604
яе,56,56/770604
яр,56,56/770604
сш,56,56/770604
 С,56,56/770604
тт,56,56/770604
яю,55,55/770604
яг,55,55/770604
 Л,54,54/770604
Од,54,54/770604
нж,54,54/770604
"з,",53,53/770604
"
П",53,53/770604
Де,53,53/770604
 (,53,53/770604
лч,52,52/770604
сё,52,52/770604
я;,52,52/770604
ч!,52,52/770604
эд,52,52/770604
 -,51,51/770604
- ,51,51/770604
ь;,51,51/770604
я-,51,51/770604
"
С",51,51/770604
ч.,51,51/770604
Ви,50,50/770604
аф,50,50/770604
Ск,50,50/770604
з-,49,49/770604
лт,49,49/770604
 Ч,49,49/770604
Зд,49,49/770604
хс,48,48/770604
Ах,48,48/770604
эк,47,47/770604
дъ,47,47/770604
рч,47,47/770604
цв,47,47/770604
ац,47,47/770604
С ,47,47/770604
Гр,47,47/770604
вв,46,46/770604
ё ,46,46/770604
фо,46,46/770604
яя,46,46/770604
мь,46,46/770604
Бе,46,46/770604
д.,45,45/770604
До,45,45/770604
Ме,45,45/770604
ы!,45,45/770604
Уж,45,45/770604
Ку,45,45/770604
 Я,45,45/770604
-п,44,44/770604
дш,44,44/770604
-г,43,43/770604
оц,43,43/770604
нр,43,43/770604
пч,42,42/770604
Вп,42,42/770604
к:,42,42/770604
пь,42,42/770604
Хл,42,42/770604
шт,41,41/770604
Че,41,41/770604
у;,41,41/770604
Ал,41,41/770604
"»
",41,41/770604
ьд,41,41/770604
?»,40,40/770604
«Д,40,40/770604
пт,40,40/770604
Мн,40,40/770604
Ты,40,40/770604
дх,40,40/770604
о…,40,40/770604
 И,40,40/770604
сб,39,39/770604
ю:,39,39/770604
бх,39,39/770604
й:,39,39/770604
Са,39,39/770604
а»,39,39/770604
 Э,39,39/770604
«Э,39,39/770604
] ,38,38/770604
кж,38,38/770604
Ру,38,38/770604
зъ,38,38/770604
!.,38,38/770604
Ро,37,37/770604
Му,37,37/770604
вч,37,37/770604
пц,36,36/770604
тм,36,36/770604
ь…,36,36/770604
бь,36,36/770604
«А,35,35/770604
нщ,35,35/770604
и-,35,35/770604
"ш,",35,35/770604
 ю,35,35/770604
Об,35,35/770604
у?,35,35/770604
юх,35,35/770604
жь,35,35/770604
"
Г",34,34/770604
«В,34,34/770604
е»,34,34/770604
т;,34,34/770604
тц,34,34/770604
Бо,34,34/770604
ьи,34,34/770604
 З,34,34/770604
ь-,33,33/770604
зс,33,33/770604
р.,33,33/770604
 М,33,33/770604
йч,33,33/770604
бв,33,33/770604
"
К",32,32/770604
«К,32,32/770604
"
О",32,32/770604
-з,32,32/770604
уя,32,32/770604
бд,32,32/770604
и»,32,32/770604
«С,32,32/770604
к?,32,32/770604
м?,32,32/770604
ы;,31,31/770604
вц,31,31/770604
яп,31,31/770604
цк,31,31/770604
-б,31,31/770604
Аф,31,31/770604
ьч,30,30/770604
.],30,30/770604
Ду,30,30/770604
).,30,30/770604
Ге,30,30/770604
чр,29,29/770604
х:,29,29/770604
-ч,29,29/770604
ц.,29,29/770604
й;,29,29/770604
с.,29,29/770604
зч,29,29/770604
е…,29,29/770604
дб,29,29/770604
Эк,29,29/770604
л!,29,29/770604
 Г,29,29/770604
рф,29,29/770604
в!,29,29/770604
т?,28,28/770604
ю;,28,28/770604
мп,28,28/770604
"
Т",28,28/770604
а…,28,28/770604
Кт,28,28/770604
Эх,28,28/770604
Зн,28,28/770604
юн,28,28/770604
н-,28,28/770604
Гл,27,27/770604
ь»,27,27/770604
ы:,27,27/770604
ыз,27,27/770604
рз,27,27/770604
 Б,27,27/770604
Тр,27,27/770604
съ,27,27/770604
к;,26,26/770604
х-,26,26/770604
"
З",26,26/770604
я…,26,26/770604
ю!,26,26/770604
Ле,26,26/770604
"
И",26,26/770604
-л,25,25/770604
у…,25,25/770604
Кр,25,25/770604
Ба,25,25/770604
«Ч,25,25/770604
Дв,25,25/770604
йл,25,25/770604
“.,25,25/770604
Ем,24,24/770604
 У,24,24/770604
.),24,24/770604
л-,24,24/770604
еа,23,23/770604
мб,23,23/770604
-д,23,23/770604
у-,23,23/770604
